"FileName","Nodes","Edges","Length"
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.44626
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.35683
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.35191
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.28986
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.28573
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.15966
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.10677
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.09591
"Data/Hela_pmito-mch-FRB_010_002.gnet",4,3,1.07165
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.0567
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.96214
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.94177
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.9309
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.84937
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.78786
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.75628
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.74392
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.71782
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.70854
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.64738
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.60081
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.56876
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.56786
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.55887
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.55307
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.50136
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.46669
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.46669
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.46669
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.46669
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.46669
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.46669
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.46669
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.45877
